word,Humor
drought,1.57247259439708
deathbed,1.38855054811206
cleaver,2.29232643118149
oxide,1.98051157125457
rainstorm,2.09013398294762
lurch,2.97442143727162
maroon,2.7442143727162
driftwood,2.33008526187576
cleat,2.4884287454324
walnut,2.80998781973203
turd,3.78075517661389
java,2.2962962962963
kappa,3.19354838709677
stocking,2.5625
sundae,3.03030303030303
door,2.03571428571429
troop,2.09677419354839
acne,2.4
canine,2.42857142857143
wait,1.83333333333333
thrift,2.21621621621622
steeple,2.42857142857143
angst,2.075
lifeline,2.16666666666667
ethic,2.25
menu,2
bullet,1.6304347826087
hangout,2.73913043478261
sewer,2.25641025641026
foot,2.55263157894737
trumpet,2.40816326530612
mumps,2.95833333333333
planet,2.06451612903226
spank,2.62162162162162
faun,2.61538461538462
barter,2.2
venue,2.4390243902439
swallow,2.74074074074074
lacquer,2.55
hearsay,2.52777777777778
bereaved,1.71052631578947
contrast,1.97297297297297
shard,2.51851851851852
roommate,2.40625
kin,2.7
teamwork,2.1
nausea,2.11428571428571
airfield,2.3125
version,1.93548387096774
blossom,2.35714285714286
arch,2.02631578947368
fencing,2.37931034482759
cuisine,2.62857142857143
spool,2.67647058823529
tapeworm,2.37931034482759
gnat,2.4
noose,2.47619047619048
anklet,2.71428571428571
terrier,2.48484848484848
act,2.32258064516129
courtyard,2.09090909090909
blimp,3.22222222222222
share,2.05882352941176
sentry,2.02857142857143
disc,2.03448275862069
clapper,3.31034482758621
rage,1.71428571428571
earpiece,2.5
scare,1.85714285714286
promise,2.3125
hippo,3.36666666666667
yawn,2.52941176470588
belly,3.37931034482759
torso,1.65
cipher,2.57142857142857
pocket,2.5
countess,2.56818181818182
moan,2.66666666666667
quarrel,2.33333333333333
poultry,2.65789473684211
trace,2.09090909090909
guilt,1.5
hitch,2.4
past,2.03225806451613
kick,1.94444444444444
trick,2.71428571428571
engine,2.03333333333333
farewell,1.9
grope,2.44444444444444
title,1.96969696969697
airport,2.23333333333333
angle,2.14285714285714
wring,2.67857142857143
putty,3.46808510638298
scuba,2.78048780487805
troll,3.34375
pin,1.95454545454545
steamship,2.18518518518519
booster,2.55172413793103
sleet,2.47222222222222
present,2.27906976744186
boxer,2.5
scarecrow,2.48387096774194
filter,2.03846153846154
stutter,2.32
boots,2.35294117647059
replay,2
yearbook,1.93103448275862
goat,2.47058823529412
buttocks,3.625
canon,2.32432432432432
gaudy,2.39285714285714
piglet,3.24324324324324
bail,2.25
vanguard,2.42857142857143
shit,3.15384615384615
product,2.16216216216216
clown,2.78048780487805
warden,2.1304347826087
say,2.27027027027027
plane,2.06666666666667
grounding,1.875
contract,2.08333333333333
audience,2.25714285714286
scapegoat,2.6
silly,3.40540540540541
pen,1.84375
shyster,3.43589743589744
justice,1.92592592592593
archduke,2.82926829268293
intake,2.22222222222222
trillion,2.71875
nurture,2.18518518518519
trait,2.42857142857143
artiste,2.675
butcher,2.02564102564103
swordfish,2.47222222222222
cooler,2.46875
annals,2.76470588235294
starch,2.12903225806452
ramp,2.12121212121212
instant,2.15789473684211
prance,3.30769230769231
boy,2.59459459459459
junkie,2.47727272727273
patient,2.0625
snowball,2.66666666666667
drizzle,2.96153846153846
slobber,3.51724137931034
gift,2.17391304347826
host,2.24242424242424
wrath,2.07142857142857
prairie,2.16666666666667
ad,1.92
album,2.25714285714286
seafood,2.21052631578947
basics,1.9
fist,1.97142857142857
anthem,2.2
